Año,ODS,Clave de metrópoli,Metrópoli,Índice,Ranking,Tipo de avance (flecha),Color del semáforo
2015,4,05.1.03,Piedras Negras,40.91965532,63,,Naranja
2015,4,05.1.04,Saltillo,54.21116018,28,,Amarillo
2015,4,05.3.05,Sabinas,48.02317898,42,,Amarillo
2015,4,06.1.01,ZM de Colima-Villa de Álvarez,68.31135516,1,,Verde claro
2015,4,06.3.02,Tecomán,38.94300533,68,,Naranja
2015,4,07.1.01,Tapachula,34.13892701,76,,Naranja
2015,4,07.1.02,Tuxtla Gutiérrez,31.05159251,79,,Naranja
2015,4,08.1.01,ZM de Chihuahua,54.82708177,25,,Naranja
2015,4,08.1.02,Delicias,46.94417331,46,,Naranja
2015,4,08.2.03,Juárez,42.94458602,58,,Amarillo
2015,4,09.1.01,ZM de la Ciudad de México,54.68691121,26,,Verde claro
2015,4,10.2.01,Metrópoli de Durango,60.97076943,10,,Amarillo
2015,4,11.1.01,Celaya,44.38304198,55,,Naranja
2015,4,11.1.02,León,33.31416569,77,,Naranja
2015,4,11.2.03,Metrópoli de Guanajuato,53.0955328,31,,Amarillo
2015,4,11.2.04,Irapuato,38.88892821,69,,Amarillo
2015,4,11.3.05,Moroleón-Uriangato,37.2557563,71,,Naranja
2015,4,11.3.06,Silao,24.64404074,80,,Naranja
2015,4,12.1.01,Chilpancingo,45.17174223,53,,Amarillo
2015,4,12.2.02,Acapulco,51.19606275,35,,Amarillo
2015,4,13.1.01,Pachuca,64.34753503,6,,Amarillo
2015,4,13.1.02,Tulancingo,40.43116082,66,,Amarillo
2015,4,14.1.01,Guadalajara,47.93556077,43,,Amarillo
2015,4,14.1.02,Puerto Vallarta,48.9492366,40,,Naranja
2015,4,14.3.03,Ocotlán,37.50670987,70,,Naranja
2015,4,15.1.01,Toluca,47.69040899,44,,Amarillo
2015,4,16.1.01,La Piedad-Pénjamo,36.07548962,73,,Naranja
2015,4,16.1.02,Morelia,55.46362144,22,,Amarillo
2015,4,16.1.03,Zamora,23.16960033,81,,Naranja
2015,4,16.2.04,Uruapan,40.63582283,65,,Naranja
2015,4,16.3.05,Lázaro Cárdenas,43.25345097,56,,Naranja
2015,4,17.1.01,Cuautla,42.95037072,57,,Naranja
2015,4,17.1.02,Cuernavaca,52.97012469,32,,Amarillo
2015,4,18.1.01,Tepic,66.49205084,3,,Verde claro
2015,4,19.1.01,Monterrey,54.88555676,24,,Amarillo
2015,4,20.1.01,ZM de Oaxaca,58.83806243,13,,Verde claro
2015,4,20.3.03,Salina Cruz,54.08227231,29,,Amarillo
2015,4,21.1.01,ZM de Puebla-Tlaxcala,49.69888568,38,,Amarillo
2015,4,21.1.02,San Martín Texmelucan,41.03271493,62,,Amarillo
2015,4,21.1.03,Tehuacán,33.12821664,78,,Rojo
2015,4,21.3.04,Huauchinango,42.07219688,59,,Naranja
2015,4,22.1.01,ZM de Querétaro,45.99971423,51,,Amarillo
2015,4,23.1.01,Cancún,41.07829573,61,,Naranja
2015,4,23.2.02,Chetumal,54.91648154,23,,Amarillo
2015,4,23.2.03,Playa del Carmen,35.89531885,74,,Rojo
2015,4,24.1.01,ZM de San Luis Potosí,66.17227848,4,,Verde claro
2015,4,24.3.03,Rioverde,46.2699329,50,,Naranja
2015,4,25.2.01,Culiacán,61.05788943,9,,Amarillo
2015,4,25.2.02,Los Mochis,60.39639002,11,,Amarillo
2015,4,25.2.03,Mazatlán,58.46912518,15,,Verde claro
2015,4,26.1.01,Guaymas,50.02620514,37,,Amarillo
2015,4,26.2.02,Ciudad Obregón,54.56459459,27,,Verde claro
2015,4,26.2.03,Hermosillo,57.24084928,18,,Verde claro
2015,4,26.2.04,Nogales,46.90412254,48,,Verde claro
2015,4,27.1.01,Villahermosa,58.10106453,16,,Amarillo
2015,4,28.1.01,Reynosa,36.58529838,72,,Naranja
2015,4,28.1.02,Tampico,57.44654819,17,,Amarillo
2015,4,28.2.03,Ciudad Victoria,67.35589702,2,,Verde claro
2015,4,28.2.04,Matamoros,44.52411232,54,,Naranja
2015,4,28.2.05,Nuevo Laredo,40.33203166,67,,Naranja
2015,4,29.1.01,Tlaxcala-Apizaco,58.52837243,14,,Amarillo
2015,4,29.3.02,Huamantla,40.88656094,64,,Amarillo
2015,4,30.1.01,Coatzacoalcos,48.34300209,41,,Amarillo
2015,4,30.1.02,Córdoba,47.58878451,45,,Amarillo
2015,4,30.1.03,Minatitlán,46.29247782,49,,Amarillo
2015,4,30.1.04,Orizaba,41.78698498,60,,Amarillo
2015,4,30.1.05,Poza Rica,51.58193444,34,,Amarillo
2015,4,30.1.06,ZM de Veracruz,52.11966337,33,,Amarillo
2015,4,30.1.07,Xalapa,55.54592907,21,,Amarillo
2015,4,31.1.01,Mérida,55.80437437,20,,Amarillo
2015,4,31.3.02,Valladolid,34.1725419,75,,Amarillo
2015,4,32.1.01,Zacatecas-Guadalupe,60.18724498,12,,Verde claro
2015,5,00.0.00,Promedio,60.47093508,,,Amarillo
2015,5,01.1.01,ZM de Aguascalientes,59.59068109,37,,Amarillo
2015,5,02.1.01,Tijuana,57.67106006,43,,Amarillo
